"","phecode","male_only","female_only"
"1","008",FALSE,FALSE
"2","008.5",FALSE,FALSE
"3","008.51",FALSE,FALSE
"4","008.52",FALSE,FALSE
"5","008.6",FALSE,FALSE
"6","008.7",FALSE,FALSE
"7","010",FALSE,FALSE
"8","031",FALSE,FALSE
"9","031.1",FALSE,FALSE
"10","038",FALSE,FALSE
"11","038.1",FALSE,FALSE
"12","038.2",FALSE,FALSE
"13","038.3",FALSE,FALSE
"14","041",FALSE,FALSE
"15","041.1",FALSE,FALSE
"16","041.11",FALSE,FALSE
"17","041.12",FALSE,FALSE
"18","041.2",FALSE,FALSE
"19","041.21",FALSE,FALSE
"20","041.4",FALSE,FALSE
"21","041.8",FALSE,FALSE
"22","041.9",FALSE,FALSE
"23","053",FALSE,FALSE
"24","053.1",FALSE,FALSE
"25","054",FALSE,FALSE
"26","070",FALSE,FALSE
"27","070.1",FALSE,FALSE
"28","070.2",FALSE,FALSE
"29","070.3",FALSE,FALSE
"30","070.4",FALSE,FALSE
"31","070.9",FALSE,FALSE
"32","071",FALSE,FALSE
"33","071.1",FALSE,FALSE
"34","078",FALSE,FALSE
"35","079",FALSE,FALSE
"36","079.1",FALSE,FALSE
"37","079.2",FALSE,FALSE
"38","079.9",FALSE,FALSE
"39","080",FALSE,FALSE
"40","081",FALSE,FALSE
"41","081.1",FALSE,FALSE
"42","081.11",FALSE,FALSE
"43","081.12",FALSE,FALSE
"44","090",FALSE,FALSE
"45","090.2",FALSE,FALSE
"46","090.3",FALSE,FALSE
"47","110",FALSE,FALSE
"48","110.1",FALSE,FALSE
"49","110.11",FALSE,FALSE
"50","110.12",FALSE,FALSE
"51","110.13",FALSE,FALSE
"52","110.2",FALSE,FALSE
"53","112",FALSE,FALSE
"54","112.3",FALSE,FALSE
"55","117",FALSE,FALSE
"56","117.1",FALSE,FALSE
"57","117.2",FALSE,FALSE
"58","117.3",FALSE,FALSE
"59","117.4",FALSE,FALSE
"60","130",FALSE,FALSE
"61","130.1",FALSE,FALSE
"62","131",FALSE,FALSE
"63","132",FALSE,FALSE
"64","132.1",FALSE,FALSE
"65","133",FALSE,FALSE
"66","134",FALSE,FALSE
"67","134.1",FALSE,FALSE
"68","136",FALSE,FALSE
"69","145",FALSE,FALSE
"70","145.1",FALSE,FALSE
"71","145.2",FALSE,FALSE
"72","145.3",FALSE,FALSE
"73","145.4",FALSE,FALSE
"74","145.5",FALSE,FALSE
"75","149",FALSE,FALSE
"76","149.1",FALSE,FALSE
"77","149.2",FALSE,FALSE
"78","149.3",FALSE,FALSE
"79","149.4",FALSE,FALSE
"80","149.5",FALSE,FALSE
"81","149.9",FALSE,FALSE
"82","150",FALSE,FALSE
"83","151",FALSE,FALSE
"84","153",FALSE,FALSE
"85","153.2",FALSE,FALSE
"86","153.3",FALSE,FALSE
"87","155",FALSE,FALSE
"88","155.1",FALSE,FALSE
"89","157",FALSE,FALSE
"90","158",FALSE,FALSE
"91","159",FALSE,FALSE
"92","159.2",FALSE,FALSE
"93","159.3",FALSE,FALSE
"94","159.4",FALSE,FALSE
"95","164",FALSE,FALSE
"96","165",FALSE,FALSE
"97","165.1",FALSE,FALSE
"98","170",FALSE,FALSE
"99","170.1",FALSE,FALSE
"100","170.2",FALSE,FALSE
"101","172",FALSE,FALSE
"102","172.1",FALSE,FALSE
"103","172.11",FALSE,FALSE
"104","172.2",FALSE,FALSE
"105","172.21",FALSE,FALSE
"106","172.22",FALSE,FALSE
"107","172.3",FALSE,FALSE
"108","173",FALSE,FALSE
"109","174",FALSE,FALSE
"110","174.1",FALSE,TRUE
"111","174.11",FALSE,TRUE
"112","174.2",TRUE,FALSE
"113","174.3",FALSE,FALSE
"114","175",FALSE,TRUE
"115","180",FALSE,TRUE
"116","180.1",FALSE,TRUE
"117","180.3",FALSE,TRUE
"118","182",FALSE,TRUE
"119","184",FALSE,TRUE
"120","184.1",FALSE,TRUE
"121","184.11",FALSE,TRUE
"122","184.2",FALSE,TRUE
"123","185",TRUE,FALSE
"124","187",TRUE,FALSE
"125","187.1",TRUE,FALSE
"126","187.2",TRUE,FALSE
"127","187.8",TRUE,FALSE
"128","189",FALSE,FALSE
"129","189.1",FALSE,FALSE
"130","189.11",FALSE,FALSE
"131","189.12",FALSE,FALSE
"132","189.2",FALSE,FALSE
"133","189.21",FALSE,FALSE
"134","189.4",FALSE,FALSE
"135","190",FALSE,FALSE
"136","191",FALSE,FALSE
"137","191.1",FALSE,FALSE
"138","191.11",FALSE,FALSE
"139","193",FALSE,FALSE
"140","194",FALSE,FALSE
"141","195",FALSE,FALSE
"142","195.1",FALSE,FALSE
"143","195.3",FALSE,FALSE
"144","196",FALSE,FALSE
"145","197",FALSE,FALSE
"146","198",FALSE,FALSE
"147","198.1",FALSE,FALSE
"148","198.2",FALSE,FALSE
"149","198.3",FALSE,FALSE
"150","198.4",FALSE,FALSE
"151","198.5",FALSE,FALSE
"152","198.6",FALSE,FALSE
"153","198.7",FALSE,FALSE
"154","199",FALSE,FALSE
"155","199.4",FALSE,FALSE
"156","200",FALSE,FALSE
"157","200.1",FALSE,FALSE
"158","201",FALSE,FALSE
"159","202",FALSE,FALSE
"160","202.2",FALSE,FALSE
"161","202.21",FALSE,FALSE
"162","202.22",FALSE,FALSE
"163","202.23",FALSE,FALSE
"164","202.24",FALSE,FALSE
"165","204",FALSE,FALSE
"166","204.1",FALSE,FALSE
"167","204.11",FALSE,FALSE
"168","204.12",FALSE,FALSE
"169","204.2",FALSE,FALSE
"170","204.21",FALSE,FALSE
"171","204.22",FALSE,FALSE
"172","204.3",FALSE,FALSE
"173","204.4",FALSE,FALSE
"174","208",FALSE,FALSE
"175","209",FALSE,FALSE
"176","210",FALSE,FALSE
"177","211",FALSE,FALSE
"178","212",FALSE,FALSE
"179","213",FALSE,FALSE
"180","214",FALSE,FALSE
"181","214.1",FALSE,FALSE
"182","215",FALSE,FALSE
"183","216",FALSE,FALSE
"184","216.1",FALSE,FALSE
"185","217",FALSE,FALSE
"186","217.1",FALSE,FALSE
"187","218",FALSE,TRUE
"188","218.1",FALSE,TRUE
"189","218.2",FALSE,TRUE
"190","220",FALSE,TRUE
"191","221",FALSE,TRUE
"192","222",TRUE,FALSE
"193","223",FALSE,FALSE
"194","224",FALSE,FALSE
"195","224.1",FALSE,FALSE
"196","225",FALSE,FALSE
"197","225.1",FALSE,FALSE
"198","225.2",FALSE,FALSE
"199","226",FALSE,FALSE
"200","227",FALSE,FALSE
"201","227.1",FALSE,FALSE
"202","227.2",FALSE,FALSE
"203","227.3",FALSE,FALSE
"204","228",FALSE,FALSE
